sal_code_2021,sal_name_2021,state_code_2021,state_name_2021,gccsa_code_2021,gccsa_name_2021
20441,Cairnlea,2,Victoria,2GMEL,Greater Melbourne
20442,Calder Park,2,Victoria,2GMEL,Greater Melbourne
20443,Caldermeade,2,Victoria,2GMEL,Greater Melbourne
20453,Camberwell (Vic.),2,Victoria,2GMEL,Greater Melbourne
20455,Campbellfield,2,Victoria,2GMEL,Greater Melbourne
20466,Cannons Creek,2,Victoria,2GMEL,Greater Melbourne
20468,Canterbury (Vic.),2,Victoria,2GMEL,Greater Melbourne
20474,Cape Schanck,2,Victoria,2GMEL,Greater Melbourne
20476,Capel Sound,2,Victoria,2GMEL,Greater Melbourne
20487,Cardinia,2,Victoria,2GMEL,Greater Melbourne
20495,Carlton (Vic.),2,Victoria,2GMEL,Greater Melbourne
20496,Carlton North,2,Victoria,2GMEL,Greater Melbourne
20498,Carnegie,2,Victoria,2GMEL,Greater Melbourne
20500,Caroline Springs,2,Victoria,2GMEL,Greater Melbourne
20507,Carrum,2,Victoria,2GMEL,Greater Melbourne
20508,Carrum Downs,2,Victoria,2GMEL,Greater Melbourne
20512,Castella,2,Victoria,2GMEL,Greater Melbourne
20517,Catani,2,Victoria,2GMEL,Greater Melbourne
20521,Caulfield,2,Victoria,2GMEL,Greater Melbourne
20522,Caulfield East,2,Victoria,2GMEL,Greater Melbourne
20523,Caulfield North,2,Victoria,2GMEL,Greater Melbourne
20524,Caulfield South,2,Victoria,2GMEL,Greater Melbourne
20528,Chadstone,2,Victoria,2GMEL,Greater Melbourne
20537,Chelsea,2,Victoria,2GMEL,Greater Melbourne
20538,Chelsea Heights,2,Victoria,2GMEL,Greater Melbourne
20539,Cheltenham (Vic.),2,Victoria,2GMEL,Greater Melbourne
20541,Cherokee,2,Victoria,2GMEL,Greater Melbourne
20555,Chintin,2,Victoria,2GMEL,Greater Melbourne
20556,Chirnside Park,2,Victoria,2GMEL,Greater Melbourne
20559,Christmas Hills (Vic.),2,Victoria,2GMEL,Greater Melbourne
20560,Chum Creek,2,Victoria,2GMEL,Greater Melbourne
20566,Clarinda,2,Victoria,2GMEL,Greater Melbourne
20567,Clarkefield,2,Victoria,2GMEL,Greater Melbourne
20569,Clayton,2,Victoria,2GMEL,Greater Melbourne
20570,Clayton South,2,Victoria,2GMEL,Greater Melbourne
20572,Clematis,2,Victoria,2GMEL,Greater Melbourne
20574,Clifton Hill,2,Victoria,2GMEL,Greater Melbourne
20576,Clonbinane,2,Victoria,2GMEL,Greater Melbourne
20581,Clyde (Vic.),2,Victoria,2GMEL,Greater Melbourne
20582,Clyde North,2,Victoria,2GMEL,Greater Melbourne
20587,Cobaw,2,Victoria,2GMEL,Greater Melbourne
20590,Cobblebank,2,Victoria,2GMEL,Greater Melbourne
20596,Coburg,2,Victoria,2GMEL,Greater Melbourne
20597,Coburg North,2,Victoria,2GMEL,Greater Melbourne
20600,Cockatoo (Vic.),2,Victoria,2GMEL,Greater Melbourne
20601,Cocoroc,2,Victoria,2GMEL,Greater Melbourne
20605,Coimadai,2,Victoria,2GMEL,Greater Melbourne
20613,Coldstream (Vic.),2,Victoria,2GMEL,Greater Melbourne
20616,Collingwood (Vic.),2,Victoria,2GMEL,Greater Melbourne
20624,Coolaroo,2,Victoria,2GMEL,Greater Melbourne
20633,Cora Lynn,2,Victoria,2GMEL,Greater Melbourne
20654,Cottles Bridge,2,Victoria,2GMEL,Greater Melbourne
20661,Craigieburn,2,Victoria,2GMEL,Greater Melbourne
20662,Cranbourne,2,Victoria,2GMEL,Greater Melbourne
20663,Cranbourne East,2,Victoria,2GMEL,Greater Melbourne
20664,Cranbourne North,2,Victoria,2GMEL,Greater Melbourne
20665,Cranbourne South,2,Victoria,2GMEL,Greater Melbourne
20666,Cranbourne West,2,Victoria,2GMEL,Greater Melbourne
20670,Cremorne (Vic.),2,Victoria,2GMEL,Greater Melbourne
20674,Crib Point,2,Victoria,2GMEL,Greater Melbourne
20682,Croydon (Vic.),2,Victoria,2GMEL,Greater Melbourne
20683,Croydon Hills,2,Victoria,2GMEL,Greater Melbourne
20684,Croydon North,2,Victoria,2GMEL,Greater Melbourne
20685,Croydon South,2,Victoria,2GMEL,Greater Melbourne
20702,Dallas,2,Victoria,2GMEL,Greater Melbourne
20703,Dalmore,2,Victoria,2GMEL,Greater Melbourne
20707,Dandenong,2,Victoria,2GMEL,Greater Melbourne
20708,Dandenong North,2,Victoria,2GMEL,Greater Melbourne
20709,Dandenong South,2,Victoria,2GMEL,Greater Melbourne
20712,Darley,2,Victoria,2GMEL,Greater Melbourne
20716,Darraweit Guim,2,Victoria,2GMEL,Greater Melbourne
20724,Deanside,2,Victoria,2GMEL,Greater Melbourne
20728,Deepdene (Vic.),2,Victoria,2GMEL,Greater Melbourne
20729,Deer Park,2,Victoria,2GMEL,Greater Melbourne
20731,Delahey,2,Victoria,2GMEL,Greater Melbourne
20743,Derrimut,2,Victoria,2GMEL,Greater Melbourne
20748,Devon Meadows,2,Victoria,2GMEL,Greater Melbourne
20750,Dewhurst,2,Victoria,2GMEL,Greater Melbourne
20752,Diamond Creek,2,Victoria,2GMEL,Greater Melbourne
20754,Diggers Rest,2,Victoria,2GMEL,Greater Melbourne
20758,Dingley Village,2,Victoria,2GMEL,Greater Melbourne
20762,Dixons Creek,2,Victoria,2GMEL,Greater Melbourne
20766,Docklands,2,Victoria,2GMEL,Greater Melbourne
20769,Don Valley,2,Victoria,2GMEL,Greater Melbourne
20771,Doncaster,2,Victoria,2GMEL,Greater Melbourne
20772,Doncaster East,2,Victoria,2GMEL,Greater Melbourne
20773,Donnybrook (Vic.),2,Victoria,2GMEL,Greater Melbourne
20774,Donvale,2,Victoria,2GMEL,Greater Melbourne
20779,Doreen,2,Victoria,2GMEL,Greater Melbourne
20783,Doveton,2,Victoria,2GMEL,Greater Melbourne
20788,Dromana,2,Victoria,2GMEL,Greater Melbourne
20825,Eaglemont,2,Victoria,2GMEL,Greater Melbourne
20830,East Melbourne,2,Victoria,2GMEL,Greater Melbourne
20833,East Warburton,2,Victoria,2GMEL,Greater Melbourne
20843,Eden Park,2,Victoria,2GMEL,Greater Melbourne
20848,Edithvale,2,Victoria,2GMEL,Greater Melbourne
20864,Elsternwick,2,Victoria,2GMEL,Greater Melbourne
20865,Eltham (Vic.),2,Victoria,2GMEL,Greater Melbourne
20866,Eltham North,2,Victoria,2GMEL,Greater Melbourne
20867,Elwood,2,Victoria,2GMEL,Greater Melbourne
20868,Emerald (Vic.),2,Victoria,2GMEL,Greater Melbourne
20871,Endeavour Hills,2,Victoria,2GMEL,Greater Melbourne
20878,Epping (Vic.),2,Victoria,2GMEL,Greater Melbourne
20885,Essendon,2,Victoria,2GMEL,Greater Melbourne
20886,Essendon Fields,2,Victoria,2GMEL,Greater Melbourne
20887,Essendon North,2,Victoria,2GMEL,Greater Melbourne
20888,Essendon West,2,Victoria,2GMEL,Greater Melbourne
20889,Eumemmerring,2,Victoria,2GMEL,Greater Melbourne
20898,Exford,2,Victoria,2GMEL,Greater Melbourne
20899,Eynesbury,2,Victoria,2GMEL,Greater Melbourne
20901,Fairfield (Vic.),2,Victoria,2GMEL,Greater Melbourne
20909,Fawkner,2,Victoria,2GMEL,Greater Melbourne
20916,Fernshaw,2,Victoria,2GMEL,Greater Melbourne
